Pokemon,Location,Encounter Method,Level Range,Encounter Rate
Bellsprout,Route7,Walking/Grass,19,21
Bellsprout,Route7,Walking/Grass,22,21
Bellsprout,Route12,Walking/Grass,24,21
Bellsprout,Route12,Walking/Grass,22,21
Bellsprout,Route12,Walking/Grass,26,21
Bellsprout,Route13,Walking/Grass,24,21
Bellsprout,Route13,Walking/Grass,22,21
Bellsprout,Route13,Walking/Grass,26,21
Bellsprout,Route14,Walking/Grass,24,21
Bellsprout,Route14,Walking/Grass,22,21
Bellsprout,Route14,Walking/Grass,26,21
Bellsprout,Route15,Walking/Grass,24,21
Bellsprout,Route15,Walking/Grass,22,21
Bellsprout,Route15,Walking/Grass,26,21
Bellsprout,Route24,Walking/Grass,12,21
Bellsprout,Route24,Walking/Grass,13,21
Bellsprout,Route24,Walking/Grass,14,21
Bellsprout,Route25,Walking/Grass,14,21
Bellsprout,Route25,Walking/Grass,13,21
Bellsprout,Route25,Walking/Grass,12,21
Bulbasaur,Viridian Forest,Walking/Grass,4,14
Caterpie,Viridian Forest,Walking/Grass,4,14
Caterpie,Viridian Forest,Walking/Grass,5,14
Caterpie,Viridian Forest,Walking/Grass,3,14
Caterpie,Six Island Pattern Bush,Walking/Grass,6,21
Caterpie,Route24,Walking/Grass,7,21
Caterpie,Route25,Walking/Grass,8,21
Caterpie,Viridian Forest,Walking/Grass,4,14
Caterpie,Viridian Forest,Walking/Grass,5,14
Caterpie,Viridian Forest,Walking/Grass,3,14
Caterpie,Six Island Pattern Bush,Walking/Grass,6,21
Caterpie,Route2,Walking/Grass,4,21
Caterpie,Route2,Walking/Grass,5,21
Caterpie,Route24,Walking/Grass,7,21
Caterpie,Route25,Walking/Grass,8,21
Chansey,Safari Zone Center,Walking/Grass,23,21
Chansey,Safari Zone North,Walking/Grass,26,21
Chansey,Safari Zone Center,Walking/Grass,23,21
Chansey,Safari Zone North,Walking/Grass,26,21
Charmander,Route7,Walking/Grass,17,21
Clefairy,Mt Moon 1F,Walking/Grass,8,7
Clefairy,Mt Moon B2F,Walking/Grass,10,7
Clefairy,Mt Moon B2F,Walking/Grass,12,7
Clefairy,Mt Moon 1F,Walking/Grass,8,7
Clefairy,Mt Moon B2F,Walking/Grass,10,7
Cubone,Pokemon Tower 3F,Walking/Grass,15,2
Cubone,Pokemon Tower 3F,Walking/Grass,17,2
Cubone,Pokemon Tower 4F,Walking/Grass,15,4
Cubone,Pokemon Tower 4F,Walking/Grass,17,4
Cubone,Pokemon Tower 5F,Walking/Grass,15,6
Cubone,Pokemon Tower 5F,Walking/Grass,17,6
Cubone,Pokemon Tower 6F,Walking/Grass,17,8
Cubone,Pokemon Tower 6F,Walking/Grass,19,8
Cubone,Pokemon Tower 7F,Walking/Grass,17,10
Cubone,Pokemon Tower 7F,Walking/Grass,19,10
Cubone,Seven Island Sevault Canyon,Walking/Grass,46,21
Cubone,Pokemon Tower 3F,Walking/Grass,15,2
Cubone,Pokemon Tower 3F,Walking/Grass,17,2
Cubone,Pokemon Tower 4F,Walking/Grass,15,4
Cubone,Pokemon Tower 4F,Walking/Grass,17,4
Cubone,Pokemon Tower 5F,Walking/Grass,15,6
Cubone,Pokemon Tower 5F,Walking/Grass,17,6
Cubone,Pokemon Tower 6F,Walking/Grass,17,8
Cubone,Pokemon Tower 6F,Walking/Grass,19,8
Cubone,Pokemon Tower 7F,Walking/Grass,17,10
Cubone,Pokemon Tower 7F,Walking/Grass,19,10
Cubone,Seven Island Sevault Canyon,Walking/Grass,46,21
Delibird,Four Island Icefall Cave 1F,Walking/Grass,30,7
Delibird,Four Island Icefall Cave B1F,Walking/Grass,30,7
Dewgong,Seafoam Islands B3F,Walking/Grass,32,7
Dewgong,Seafoam Islands B3F,Walking/Grass,34,7
Dewgong,Seafoam Islands B3F,Surfing,35-40,2
Dewgong,Seafoam Islands B4F,Walking/Grass,34,7
Dewgong,Seafoam Islands B4F,Walking/Grass,36,7
Dewgong,Seafoam Islands B4F,Walking/Grass,36,7
Dewgong,Seafoam Islands B4F,Surfing,35-40,2
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,49,7
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,51,7
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,53,7
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,53,7
Dewgong,Four Island Icefall Cave Entrance,Surfing,35-40,2
Dewgong,Four Island Icefall Cave Back,Walking/Grass,49,7
Dewgong,Four Island Icefall Cave Back,Walking/Grass,51,7
Dewgong,Four Island Icefall Cave Back,Walking/Grass,53,7
Dewgong,Four Island Icefall Cave Back,Walking/Grass,53,7
Dewgong,Seafoam Islands B3F,Walking/Grass,32,7
Dewgong,Seafoam Islands B3F,Walking/Grass,34,7
Dewgong,Seafoam Islands B3F,Surfing,35-40,2
Dewgong,Seafoam Islands B4F,Walking/Grass,34,7
Dewgong,Seafoam Islands B4F,Walking/Grass,36,7
Dewgong,Seafoam Islands B4F,Walking/Grass,36,7
Dewgong,Seafoam Islands B4F,Surfing,35-40,2
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,49,7
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,51,7
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,53,7
Dewgong,Four Island Icefall Cave Entrance,Walking/Grass,53,7
Dewgong,Four Island Icefall Cave Entrance,Surfing,35-40,2
Dewgong,Four Island Icefall Cave Back,Walking/Grass,49,7
Dewgong,Four Island Icefall Cave Back,Walking/Grass,51,7
Dewgong,Four Island Icefall Cave Back,Walking/Grass,53,7
Dewgong,Four Island Icefall Cave Back,Walking/Grass,53,7
Diglett,Digletts Cave B1F,Walking/Grass,18,5
Diglett,Digletts Cave B1F,Walking/Grass,19,5
Diglett,Digletts Cave B1F,Walking/Grass,17,5
Diglett,Digletts Cave B1F,Walking/Grass,15,5
Diglett,Digletts Cave B1F,Walking/Grass,16,5
Diglett,Digletts Cave B1F,Walking/Grass,20,5
Diglett,Digletts Cave B1F,Walking/Grass,21,5
Diglett,Digletts Cave B1F,Walking/Grass,22,5
Diglett,Digletts Cave B1F,Walking/Grass,17,5
Diglett,Digletts Cave B1F,Walking/Grass,17,5
Diglett,Digletts Cave B1F,Walking/Grass,18,5
Diglett,Digletts Cave B1F,Walking/Grass,19,5
Diglett,Digletts Cave B1F,Walking/Grass,17,5
Diglett,Digletts Cave B1F,Walking/Grass,15,5
Diglett,Digletts Cave B1F,Walking/Grass,16,5
Diglett,Digletts Cave B1F,Walking/Grass,20,5
Diglett,Digletts Cave B1F,Walking/Grass,21,5
Diglett,Digletts Cave B1F,Walking/Grass,22,5
Diglett,Digletts Cave B1F,Walking/Grass,17,5
Diglett,Digletts Cave B1F,Walking/Grass,17,5
Ditto,Pokemon Mansion B1F,Walking/Grass,30,5
Ditto,Cerulean Cave 1F,Walking/Grass,52,7
Ditto,Cerulean Cave 1F,Walking/Grass,61,7
Ditto,Cerulean Cave 2F,Walking/Grass,55,7
Ditto,Cerulean Cave 2F,Walking/Grass,64,7
Ditto,Cerulean Cave B1F,Walking/Grass,58,7
Ditto,Cerulean Cave B1F,Walking/Grass,67,7
Ditto,Route13,Walking/Grass,25,21
Ditto,Route14,Walking/Grass,23,21
Ditto,Route14,Walking/Grass,23,21
Ditto,Route14,Walking/Grass,23,21
Ditto,Route15,Walking/Grass,25,21
Ditto,Pokemon Mansion B1F,Walking/Grass,30,5
Ditto,Cerulean Cave 1F,Walking/Grass,52,7
Ditto,Cerulean Cave 2F,Walking/Grass,55,7
Ditto,Cerulean Cave 2F,Walking/Grass,64,7
Ditto,Cerulean Cave B1F,Walking/Grass,58,7
Ditto,Cerulean Cave B1F,Walking/Grass,67,7
Ditto,Route13,Walking/Grass,25,21
Ditto,Route14,Walking/Grass,23,21
Ditto,Route14,Walking/Grass,23,21
Ditto,Route14,Walking/Grass,23,21
Ditto,Route15,Walking/Grass,25,21
Doduo,Safari Zone East,Walking/Grass,26,21
Doduo,Safari Zone West,Walking/Grass,26,21
Doduo,Route16,Walking/Grass,18,21
Doduo,Route16,Walking/Grass,20,21
Doduo,Route16,Walking/Grass,22,21
Doduo,Route17,Walking/Grass,24,21
Doduo,Route17,Walking/Grass,26,21
Doduo,Route17,Walking/Grass,28,21
Doduo,Route18,Walking/Grass,24,21
Doduo,Route18,Walking/Grass,26,21
Doduo,Route18,Walking/Grass,28,21
Doduo,Safari Zone East,Walking/Grass,26,21
Doduo,Safari Zone West,Walking/Grass,26,21
Doduo,Route16,Walking/Grass,18,21
Doduo,Route16,Walking/Grass,20,21
Doduo,Route16,Walking/Grass,22,21
Doduo,Route17,Walking/Grass,24,21
Doduo,Route17,Walking/Grass,26,21
Doduo,Route17,Walking/Grass,28,21
Doduo,Route18,Walking/Grass,24,21
Doduo,Route18,Walking/Grass,26,21
Doduo,Route18,Walking/Grass,28,21
Dragonair,Safari Zone Center,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone East,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone North,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone West,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone Center,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone East,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone North,Fishing (Unknown Rod),25-35,20
Dragonair,Safari Zone West,Fishing (Unknown Rod),25-35,20
Dratini,Safari Zone Center,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone East,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone North,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone West,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone Center,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone East,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone North,Fishing (Unknown Rod),15-25,20
Dratini,Safari Zone West,Fishing (Unknown Rod),15-25,20
Drowzee,Three Island Berry Forest,Walking/Grass,34,21
Drowzee,Route11,Walking/Grass,11,21
Drowzee,Route11,Walking/Grass,13,21
Drowzee,Route11,Walking/Grass,15,21
Drowzee,Route11,Walking/Grass,15,21
Drowzee,Three Island Berry Forest,Walking/Grass,34,21
Drowzee,Route11,Walking/Grass,11,21
Drowzee,Route11,Walking/Grass,13,21
Drowzee,Route11,Walking/Grass,15,21
Drowzee,Route11,Walking/Grass,15,21
Dugtrio,Digletts Cave B1F,Walking/Grass,29,5
Dugtrio,Digletts Cave B1F,Walking/Grass,31,5
Dugtrio,Digletts Cave B1F,Walking/Grass,29,5
Dugtrio,Digletts Cave B1F,Walking/Grass,31,5
Dunsparce,Three Island Port,Walking/Grass,15,1
Dunsparce,Three Island Port,Walking/Grass,15,1
Dunsparce,Three Island Port,Walking/Grass,10,1
Dunsparce,Three Island Port,Walking/Grass,10,1
Dunsparce,Three Island Port,Walking/Grass,20,1
Dunsparce,Three Island Port,Walking/Grass,20,1
Dunsparce,Three Island Port,Walking/Grass,25,1
Dunsparce,Three Island Port,Walking/Grass,30,1
Dunsparce,Three Island Port,Walking/Grass,25,1
Dunsparce,Three Island Port,Walking/Grass,30,1
Dunsparce,Three Island Port,Walking/Grass,5,1
Dunsparce,Three Island Port,Walking/Grass,35,1
Dunsparce,Three Island Port,Walking/Grass,15,1
Dunsparce,Three Island Port,Walking/Grass,15,1
Dunsparce,Three Island Port,Walking/Grass,10,1
Dunsparce,Three Island Port,Walking/Grass,10,1
Dunsparce,Three Island Port,Walking/Grass,20,1
Dunsparce,Three Island Port,Walking/Grass,20,1
Dunsparce,Three Island Port,Walking/Grass,25,1
Dunsparce,Three Island Port,Walking/Grass,30,1
Dunsparce,Three Island Port,Walking/Grass,25,1
Dunsparce,Three Island Port,Walking/Grass,30,1
Dunsparce,Three Island Port,Walking/Grass,5,1
Dunsparce,Three Island Port,Walking/Grass,35,1
Eevee,Celadon City,Walking/Grass,25,5
Ekans,Route4,Walking/Grass,6,21
Ekans,Route4,Walking/Grass,10,21
Ekans,Route8,Walking/Grass,17,21
Ekans,Route8,Walking/Grass,19,21
Ekans,Route8,Walking/Grass,17,21
Ekans,Route8,Walking/Grass,17,21
Ekans,Route9,Walking/Grass,11,21
Ekans,Route9,Walking/Grass,15,21
Ekans,Route9,Walking/Grass,13,21
Ekans,Route9,Walking/Grass,17,21
Ekans,Route10,Walking/Grass,11,21
Ekans,Route10,Walking/Grass,15,21
Ekans,Route11,Walking/Grass,14,21
Ekans,Route11,Walking/Grass,12,21
Ekans,Route11,Walking/Grass,15,21
Ekans,Route11,Walking/Grass,12,21
Ekans,Route11,Walking/Grass,12,21
Ekans,Route23,Walking/Grass,32,21
Ekans,Route23,Walking/Grass,34,21
Electabuzz,Power Plant,Walking/Grass,32,7
Electabuzz,Power Plant,Walking/Grass,35,7
Electabuzz,Route10,Walking/Grass,17,21
Electrode,Cerulean Cave 1F,Walking/Grass,58,7
Electrode,Cerulean Cave 2F,Walking/Grass,61,7
Electrode,Cerulean Cave B1F,Walking/Grass,64,7
Electrode,Cerulean Cave 1F,Walking/Grass,58,7
Electrode,Cerulean Cave 2F,Walking/Grass,61,7
Electrode,Cerulean Cave B1F,Walking/Grass,64,7
Exeggcute,Safari Zone Center,Walking/Grass,24,21
Exeggcute,Safari Zone Center,Walking/Grass,25,21
Exeggcute,Safari Zone East,Walking/Grass,23,21
Exeggcute,Safari Zone East,Walking/Grass,25,21
Exeggcute,Safari Zone North,Walking/Grass,25,21
Exeggcute,Safari Zone North,Walking/Grass,27,21
Exeggcute,Safari Zone West,Walking/Grass,25,21
Exeggcute,Safari Zone West,Walking/Grass,27,21
Exeggcute,Three Island Berry Forest,Walking/Grass,35,21
Exeggcute,Safari Zone Center,Walking/Grass,24,21
Exeggcute,Safari Zone Center,Walking/Grass,25,21
Exeggcute,Safari Zone East,Walking/Grass,23,21
Exeggcute,Safari Zone East,Walking/Grass,25,21
Exeggcute,Safari Zone North,Walking/Grass,25,21
Exeggcute,Safari Zone North,Walking/Grass,27,21
Exeggcute,Safari Zone West,Walking/Grass,25,21
Exeggcute,Safari Zone West,Walking/Grass,27,21
Exeggcute,Three Island Berry Forest,Walking/Grass,35,21
Farfetchd,Route12,Walking/Grass,25,21
Fearow,Mt Ember Exterior,Walking/Grass,38,21
Fearow,Mt Ember Exterior,Walking/Grass,40,21
Fearow,One Island Kindle Road,Walking/Grass,36,21
Fearow,One Island Treasure Beach,Walking/Grass,36,21
Fearow,One Island Treasure Beach,Walking/Grass,38,21
Fearow,One Island Treasure Beach,Walking/Grass,40,21
Fearow,One Island Treasure Beach,Walking/Grass,40,21
Fearow,Two Island Cape Brink,Walking/Grass,36,21
Fearow,Six Island Water Path,Walking/Grass,48,21
Fearow,Six Island Water Path,Walking/Grass,50,21
Fearow,Six Island Water Path,Walking/Grass,50,21
Fearow,Six Island Ruin Valley,Walking/Grass,49,21
Fearow,Seven Island Sevault Canyon Entrance,Walking/Grass,48,21
Fearow,Seven Island Sevault Canyon Entrance,Walking/Grass,50,21
Fearow,Seven Island Sevault Canyon,Walking/Grass,50,21
Fearow,Route17,Walking/Grass,25,21
Fearow,Route17,Walking/Grass,27,21
Fearow,Route18,Walking/Grass,25,21
Fearow,Route18,Walking/Grass,27,21
Fearow,Route18,Walking/Grass,29,21
Fearow,Route23,Walking/Grass,40,21
Fearow,Route23,Walking/Grass,42,21
Fearow,Route23,Walking/Grass,44,21
Fearow,Mt Ember Exterior,Walking/Grass,38,21
Fearow,Mt Ember Exterior,Walking/Grass,40,21
Fearow,One Island Kindle Road,Walking/Grass,36,21
Fearow,One Island Treasure Beach,Walking/Grass,36,21
Fearow,One Island Treasure Beach,Walking/Grass,38,21
Fearow,One Island Treasure Beach,Walking/Grass,40,21
Fearow,One Island Treasure Beach,Walking/Grass,40,21
Fearow,Two Island Cape Brink,Walking/Grass,36,21
Fearow,Six Island Water Path,Walking/Grass,48,21
Fearow,Six Island Water Path,Walking/Grass,50,21
Fearow,Six Island Water Path,Walking/Grass,50,21
Fearow,Six Island Ruin Valley,Walking/Grass,49,21
Fearow,Seven Island Sevault Canyon Entrance,Walking/Grass,48,21
Fearow,Seven Island Sevault Canyon Entrance,Walking/Grass,50,21
Fearow,Seven Island Sevault Canyon,Walking/Grass,50,21
Fearow,Seven Island Sevault Canyon,Walking/Grass,50,21
Fearow,Route17,Walking/Grass,25,21
Fearow,Route17,Walking/Grass,27,21
Fearow,Route18,Walking/Grass,25,21
Fearow,Route18,Walking/Grass,27,21
Fearow,Route18,Walking/Grass,29,21
Fearow,Route23,Walking/Grass,40,21
Fearow,Route23,Walking/Grass,42,21
Fearow,Route23,Walking/Grass,44,21
Gastly,Pokemon Tower 3F,Walking/Grass,15,2
Gastly,Pokemon Tower 3F,Walking/Grass,16,2
Gastly,Pokemon Tower 3F,Walking/Grass,17,2
Gastly,Pokemon Tower 3F,Walking/Grass,13,2
Gastly,Pokemon Tower 3F,Walking/Grass,14,2
Gastly,Pokemon Tower 3F,Walking/Grass,18,2
Gastly,Pokemon Tower 3F,Walking/Grass,19,2
Gastly,Pokemon Tower 3F,Walking/Grass,17,2
Gastly,Pokemon Tower 3F,Walking/Grass,17,2
Gastly,Pokemon Tower 4F,Walking/Grass,15,4
Gastly,Pokemon Tower 4F,Walking/Grass,16,4
Gastly,Pokemon Tower 4F,Walking/Grass,17,4
Gastly,Pokemon Tower 4F,Walking/Grass,13,4
Gastly,Pokemon Tower 4F,Walking/Grass,14,4
Gastly,Pokemon Tower 4F,Walking/Grass,18,4
Gastly,Pokemon Tower 4F,Walking/Grass,17,4
Gastly,Pokemon Tower 4F,Walking/Grass,17,4
Gastly,Pokemon Tower 4F,Walking/Grass,19,4
Gastly,Pokemon Tower 5F,Walking/Grass,15,6
Gastly,Pokemon Tower 5F,Walking/Grass,16,6
Gastly,Pokemon Tower 5F,Walking/Grass,17,6
Gastly,Pokemon Tower 5F,Walking/Grass,13,6
Gastly,Pokemon Tower 5F,Walking/Grass,14,6
Gastly,Pokemon Tower 5F,Walking/Grass,18,6
Gastly,Pokemon Tower 5F,Walking/Grass,17,6
Gastly,Pokemon Tower 5F,Walking/Grass,17,6
Gastly,Pokemon Tower 5F,Walking/Grass,19,6
Gastly,Pokemon Tower 6F,Walking/Grass,16,8
Gastly,Pokemon Tower 6F,Walking/Grass,17,8
Gastly,Pokemon Tower 6F,Walking/Grass,18,8
Gastly,Pokemon Tower 6F,Walking/Grass,14,8
Gastly,Pokemon Tower 6F,Walking/Grass,15,8
Gastly,Pokemon Tower 6F,Walking/Grass,19,8
Gastly,Pokemon Tower 6F,Walking/Grass,18,8
Gastly,Pokemon Tower 6F,Walking/Grass,18,8
Gastly,Pokemon Tower 7F,Walking/Grass,16,10
Gastly,Pokemon Tower 7F,Walking/Grass,17,10
Gastly,Pokemon Tower 7F,Walking/Grass,18,10
Gastly,Pokemon Tower 7F,Walking/Grass,15,10
Gastly,Pokemon Tower 7F,Walking/Grass,19,10
Gastly,Pokemon Tower 7F,Walking/Grass,18,10
Gastly,Pokemon Tower 7F,Walking/Grass,18,10
Gastly,Five Island Lost Cave Room1,Walking/Grass,40,1
Gastly,Five Island Lost Cave Room1,Walking/Grass,38,1
Gastly,Five Island Lost Cave Room2,Walking/Grass,40,2
Gastly,Five Island Lost Cave Room2,Walking/Grass,38,2
Gastly,Five Island Lost Cave Room3,Walking/Grass,40,3
Gastly,Five Island Lost Cave Room3,Walking/Grass,38,3
Gastly,Five Island Lost Cave Room4,Walking/Grass,40,4
Gastly,Five Island Lost Cave Room4,Walking/Grass,38,4
Gastly,Five Island Lost Cave Room5,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room5,Walking/Grass,38,5
Gastly,Five Island Lost Cave Room6,Walking/Grass,40,6
Gastly,Five Island Lost Cave Room6,Walking/Grass,38,6
Gastly,Five Island Lost Cave Room7,Walking/Grass,40,7
Gastly,Five Island Lost Cave Room7,Walking/Grass,38,7
Gastly,Five Island Lost Cave Room8,Walking/Grass,40,8
Gastly,Five Island Lost Cave Room8,Walking/Grass,38,8
Gastly,Five Island Lost Cave Room9,Walking/Grass,40,9
Gastly,Five Island Lost Cave Room9,Walking/Grass,38,9
Gastly,Five Island Lost Cave Room10,Walking/Grass,40,10
Gastly,Five Island Lost Cave Room10,Walking/Grass,38,10
Gastly,Five Island Lost Cave Room11,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room12,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room13,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room14,Walking/Grass,40,5
Gastly,Pokemon Tower 3F,Walking/Grass,15,2
Gastly,Pokemon Tower 3F,Walking/Grass,16,2
Gastly,Pokemon Tower 3F,Walking/Grass,17,2
Gastly,Pokemon Tower 3F,Walking/Grass,13,2
Gastly,Pokemon Tower 3F,Walking/Grass,14,2
Gastly,Pokemon Tower 3F,Walking/Grass,18,2
Gastly,Pokemon Tower 3F,Walking/Grass,19,2
Gastly,Pokemon Tower 3F,Walking/Grass,17,2
Gastly,Pokemon Tower 3F,Walking/Grass,17,2
Gastly,Pokemon Tower 4F,Walking/Grass,15,4
Gastly,Pokemon Tower 4F,Walking/Grass,16,4
Gastly,Pokemon Tower 4F,Walking/Grass,17,4
Gastly,Pokemon Tower 4F,Walking/Grass,13,4
Gastly,Pokemon Tower 4F,Walking/Grass,14,4
Gastly,Pokemon Tower 4F,Walking/Grass,18,4
Gastly,Pokemon Tower 4F,Walking/Grass,17,4
Gastly,Pokemon Tower 4F,Walking/Grass,17,4
Gastly,Pokemon Tower 4F,Walking/Grass,19,4
Gastly,Pokemon Tower 5F,Walking/Grass,15,6
Gastly,Pokemon Tower 5F,Walking/Grass,16,6
Gastly,Pokemon Tower 5F,Walking/Grass,17,6
Gastly,Pokemon Tower 5F,Walking/Grass,13,6
Gastly,Pokemon Tower 5F,Walking/Grass,14,6
Gastly,Pokemon Tower 5F,Walking/Grass,18,6
Gastly,Pokemon Tower 5F,Walking/Grass,17,6
Gastly,Pokemon Tower 5F,Walking/Grass,17,6
Gastly,Pokemon Tower 5F,Walking/Grass,19,6
Gastly,Pokemon Tower 6F,Walking/Grass,16,8
Gastly,Pokemon Tower 6F,Walking/Grass,17,8
Gastly,Pokemon Tower 6F,Walking/Grass,18,8
Gastly,Pokemon Tower 6F,Walking/Grass,14,8
Gastly,Pokemon Tower 6F,Walking/Grass,15,8
Gastly,Pokemon Tower 6F,Walking/Grass,19,8
Gastly,Pokemon Tower 6F,Walking/Grass,18,8
Gastly,Pokemon Tower 6F,Walking/Grass,18,8
Gastly,Pokemon Tower 7F,Walking/Grass,16,10
Gastly,Pokemon Tower 7F,Walking/Grass,17,10
Gastly,Pokemon Tower 7F,Walking/Grass,18,10
Gastly,Pokemon Tower 7F,Walking/Grass,15,10
Gastly,Pokemon Tower 7F,Walking/Grass,19,10
Gastly,Pokemon Tower 7F,Walking/Grass,18,10
Gastly,Pokemon Tower 7F,Walking/Grass,18,10
Gastly,Five Island Lost Cave Room1,Walking/Grass,40,1
Gastly,Five Island Lost Cave Room1,Walking/Grass,38,1
Gastly,Five Island Lost Cave Room2,Walking/Grass,40,2
Gastly,Five Island Lost Cave Room2,Walking/Grass,38,2
Gastly,Five Island Lost Cave Room3,Walking/Grass,40,3
Gastly,Five Island Lost Cave Room3,Walking/Grass,38,3
Gastly,Five Island Lost Cave Room4,Walking/Grass,40,4
Gastly,Five Island Lost Cave Room4,Walking/Grass,38,4
Gastly,Five Island Lost Cave Room5,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room5,Walking/Grass,38,5
Gastly,Five Island Lost Cave Room6,Walking/Grass,40,6
Gastly,Five Island Lost Cave Room6,Walking/Grass,38,6
Gastly,Five Island Lost Cave Room7,Walking/Grass,40,7
Gastly,Five Island Lost Cave Room7,Walking/Grass,38,7
Gastly,Five Island Lost Cave Room8,Walking/Grass,40,8
Gastly,Five Island Lost Cave Room8,Walking/Grass,38,8
Gastly,Five Island Lost Cave Room9,Walking/Grass,40,9
Gastly,Five Island Lost Cave Room9,Walking/Grass,38,9
Gastly,Five Island Lost Cave Room10,Walking/Grass,40,10
Gastly,Five Island Lost Cave Room10,Walking/Grass,38,10
Gastly,Five Island Lost Cave Room11,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room12,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room13,Walking/Grass,40,5
Gastly,Five Island Lost Cave Room14,Walking/Grass,40,5
Geodude,Mt Moon 1F,Walking/Grass,7,7
Geodude,Mt Moon 1F,Walking/Grass,8,7
Geodude,Mt Moon 1F,Walking/Grass,9,7
Geodude,Mt Moon B2F,Walking/Grass,9,7
Geodude,Mt Moon B2F,Walking/Grass,10,7
Geodude,Victory Road 1F,Walking/Grass,32,7
Geodude,Victory Road 2F,Walking/Grass,34,7
Geodude,Victory Road 3F,Walking/Grass,32,7
Geodude,Cerulean Cave 1F,Rock Smash,30-40,50
Geodude,Cerulean Cave 1F,Rock Smash,40-50,50
