Pokemon,Obtainability Method,Location/Details,Level/Requirement
BELLSPROUT,Wild - Walking/Grass,Route5,Lv 15
BELLSPROUT,Wild - Walking/Grass,Route5,Lv 16
BELLSPROUT,Wild - Walking/Grass,Route6,Lv 13
BELLSPROUT,Wild - Walking/Grass,Route6,Lv 15
BELLSPROUT,Wild - Walking/Grass,Route6,Lv 16
BELLSPROUT,Wild - Walking/Grass,Route7,Lv 19
BELLSPROUT,Wild - Walking/Grass,Route7,Lv 22
BELLSPROUT,Wild - Walking/Grass,Route12,Lv 24
BELLSPROUT,Wild - Walking/Grass,Route12,Lv 22
BELLSPROUT,Wild - Walking/Grass,Route12,Lv 26
BELLSPROUT,Wild - Walking/Grass,Route13,Lv 24
BELLSPROUT,Wild - Walking/Grass,Route13,Lv 22
BELLSPROUT,Wild - Walking/Grass,Route13,Lv 26
BELLSPROUT,Wild - Walking/Grass,Route14,Lv 24
BELLSPROUT,Wild - Walking/Grass,Route14,Lv 22
BELLSPROUT,Wild - Walking/Grass,Route14,Lv 26
BELLSPROUT,Wild - Walking/Grass,Route15,Lv 24
BELLSPROUT,Wild - Walking/Grass,Route15,Lv 22
BELLSPROUT,Wild - Walking/Grass,Route15,Lv 26
BELLSPROUT,Wild - Walking/Grass,Route24,Lv 12
BELLSPROUT,Wild - Walking/Grass,Route24,Lv 13
BELLSPROUT,Wild - Walking/Grass,Route24,Lv 14
BELLSPROUT,Wild - Walking/Grass,Route25,Lv 14
BELLSPROUT,Wild - Walking/Grass,Route25,Lv 13
BELLSPROUT,Wild - Walking/Grass,Route25,Lv 12
BLASTOISE,Evolution,From Wartortle,Level 36
BLAZIKEN,Evolution,From Combusken,Level 36
BLISSEY,Evolution,From Chansey,Friendship (220+)
BRELOOM,Evolution,From Shroomish,Level 23
BULBASAUR,Wild - Walking/Grass,Viridian Forest,Lv 4
BULBASAUR,Starter,Pallet Town (Professor Oak),Choose as starter Pokemon
BUTTERFREE,Evolution,From Metapod,Level 10
CACTURNE,Evolution,From Cacnea,Level 32
CAMERUPT,Evolution,From Numel,Level 33
CASCOON,Evolution,From Wurmple,Level (Personality-based)
CATERPIE,Wild - Walking/Grass,Viridian Forest,Lv 4
CATERPIE,Wild - Walking/Grass,Viridian Forest,Lv 5
CATERPIE,Wild - Walking/Grass,Viridian Forest,Lv 3
CATERPIE,Wild - Walking/Grass,Six Island Pattern Bush,Lv 6
CATERPIE,Wild - Walking/Grass,Route24,Lv 7
CATERPIE,Wild - Walking/Grass,Route25,Lv 8
CATERPIE,Wild - Walking/Grass,Viridian Forest,Lv 4
CATERPIE,Wild - Walking/Grass,Viridian Forest,Lv 5
CATERPIE,Wild - Walking/Grass,Viridian Forest,Lv 3
CATERPIE,Wild - Walking/Grass,Six Island Pattern Bush,Lv 6
CATERPIE,Wild - Walking/Grass,Route2,Lv 4
CATERPIE,Wild - Walking/Grass,Route2,Lv 5
CATERPIE,Wild - Walking/Grass,Route24,Lv 7
CATERPIE,Wild - Walking/Grass,Route25,Lv 8
CHANSEY,Wild - Walking/Grass,Safari Zone Center,Lv 23
CHANSEY,Wild - Walking/Grass,Safari Zone North,Lv 26
CHANSEY,Wild - Walking/Grass,Safari Zone Center,Lv 23
CHANSEY,Wild - Walking/Grass,Safari Zone North,Lv 26
CHARIZARD,Evolution,From Charmeleon,Level 36
CHARMANDER,Wild - Walking/Grass,Route7,Lv 17
CHARMANDER,Starter,Pallet Town (Professor Oak),Choose as starter Pokemon
CHARMELEON,Evolution,From Charmander,Level 16
CLAYDOL,Evolution,From Baltoy,Level 36
CLEFABLE,Evolution,From Clefairy + Moon Stone,Use Stone
CLEFAIRY,Wild - Walking/Grass,Mt Moon 1F,Lv 8
CLEFAIRY,Wild - Walking/Grass,Mt Moon B2F,Lv 10
CLEFAIRY,Wild - Walking/Grass,Mt Moon B2F,Lv 12
CLEFAIRY,Wild - Walking/Grass,Mt Moon 1F,Lv 8
CLEFAIRY,Wild - Walking/Grass,Mt Moon B2F,Lv 10
CLEFAIRY,Evolution,From Cleffa,Friendship (220+)
CLEFAIRY,Game Corner Prize,Celadon City Game Corner,500 Coins
CLOYSTER,Evolution,From Shellder + Water Stone,Use Stone
COMBUSKEN,Evolution,From Torchic,Level 16
CRADILY,Evolution,From Lileep,Level 40
CRAWDAUNT,Evolution,From Corphish,Level 30
CROBAT,Evolution,From Golbat,Friendship (220+)
CROCONAW,Evolution,From Totodile,Level 18
CUBONE,Wild - Walking/Grass,Pokemon Tower 3F,Lv 15
CUBONE,Wild - Walking/Grass,Pokemon Tower 3F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 4F,Lv 15
CUBONE,Wild - Walking/Grass,Pokemon Tower 4F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 5F,Lv 15
CUBONE,Wild - Walking/Grass,Pokemon Tower 5F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 6F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 6F,Lv 19
CUBONE,Wild - Walking/Grass,Pokemon Tower 7F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 7F,Lv 19
CUBONE,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 46
CUBONE,Wild - Walking/Grass,Pokemon Tower 3F,Lv 15
CUBONE,Wild - Walking/Grass,Pokemon Tower 3F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 4F,Lv 15
CUBONE,Wild - Walking/Grass,Pokemon Tower 4F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 5F,Lv 15
CUBONE,Wild - Walking/Grass,Pokemon Tower 5F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 6F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 6F,Lv 19
CUBONE,Wild - Walking/Grass,Pokemon Tower 7F,Lv 17
CUBONE,Wild - Walking/Grass,Pokemon Tower 7F,Lv 19
CUBONE,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 46
DELCATTY,Evolution,From Skitty + Moon Stone,Use Stone
DELIBIRD,Wild - Walking/Grass,Four Island Icefall Cave 1F,Lv 30
DELIBIRD,Wild - Walking/Grass,Four Island Icefall Cave B1F,Lv 30
DEOXYS,Event,Birth Island,Lv. 30; requires Mystery Gift event item (AuroraTicket)
DEWGONG,Wild - Walking/Grass,Seafoam Islands B3F,Lv 32
DEWGONG,Wild - Walking/Grass,Seafoam Islands B3F,Lv 34
DEWGONG,Wild - Surfing,Seafoam Islands B3F,Lv 35-40
DEWGONG,Wild - Walking/Grass,Seafoam Islands B4F,Lv 34
DEWGONG,Wild - Walking/Grass,Seafoam Islands B4F,Lv 36
DEWGONG,Wild - Walking/Grass,Seafoam Islands B4F,Lv 36
DEWGONG,Wild - Surfing,Seafoam Islands B4F,Lv 35-40
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 49
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 51
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 53
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 53
DEWGONG,Wild - Surfing,Four Island Icefall Cave Entrance,Lv 35-40
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 49
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 51
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 53
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 53
DEWGONG,Wild - Walking/Grass,Seafoam Islands B3F,Lv 32
DEWGONG,Wild - Walking/Grass,Seafoam Islands B3F,Lv 34
DEWGONG,Wild - Surfing,Seafoam Islands B3F,Lv 35-40
DEWGONG,Wild - Walking/Grass,Seafoam Islands B4F,Lv 34
DEWGONG,Wild - Walking/Grass,Seafoam Islands B4F,Lv 36
DEWGONG,Wild - Walking/Grass,Seafoam Islands B4F,Lv 36
DEWGONG,Wild - Surfing,Seafoam Islands B4F,Lv 35-40
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 49
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 51
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 53
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Entrance,Lv 53
DEWGONG,Wild - Surfing,Four Island Icefall Cave Entrance,Lv 35-40
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 49
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 51
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 53
DEWGONG,Wild - Walking/Grass,Four Island Icefall Cave Back,Lv 53
DEWGONG,Evolution,From Seel,Level 34
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 18
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 19
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 17
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 15
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 16
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 20
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 21
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 22
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 17
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 17
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 18
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 19
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 17
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 15
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 16
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 20
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 21
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 22
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 17
DIGLETT,Wild - Walking/Grass,Digletts Cave B1F,Lv 17
DITTO,Wild - Walking/Grass,Pokemon Mansion B1F,Lv 30
DITTO,Wild - Walking/Grass,Cerulean Cave 1F,Lv 52
DITTO,Wild - Walking/Grass,Cerulean Cave 1F,Lv 61
DITTO,Wild - Walking/Grass,Cerulean Cave 2F,Lv 55
DITTO,Wild - Walking/Grass,Cerulean Cave 2F,Lv 64
DITTO,Wild - Walking/Grass,Cerulean Cave B1F,Lv 58
DITTO,Wild - Walking/Grass,Cerulean Cave B1F,Lv 67
DITTO,Wild - Walking/Grass,Route13,Lv 25
DITTO,Wild - Walking/Grass,Route14,Lv 23
DITTO,Wild - Walking/Grass,Route14,Lv 23
DITTO,Wild - Walking/Grass,Route14,Lv 23
DITTO,Wild - Walking/Grass,Route15,Lv 25
DITTO,Wild - Walking/Grass,Pokemon Mansion B1F,Lv 30
DITTO,Wild - Walking/Grass,Cerulean Cave 1F,Lv 52
DITTO,Wild - Walking/Grass,Cerulean Cave 2F,Lv 55
DITTO,Wild - Walking/Grass,Cerulean Cave 2F,Lv 64
DITTO,Wild - Walking/Grass,Cerulean Cave B1F,Lv 58
DITTO,Wild - Walking/Grass,Cerulean Cave B1F,Lv 67
DITTO,Wild - Walking/Grass,Route13,Lv 25
DITTO,Wild - Walking/Grass,Route14,Lv 23
DITTO,Wild - Walking/Grass,Route14,Lv 23
DITTO,Wild - Walking/Grass,Route14,Lv 23
DITTO,Wild - Walking/Grass,Route15,Lv 25
DODRIO,Evolution,From Doduo,Level 31
DODUO,Wild - Walking/Grass,Safari Zone East,Lv 26
DODUO,Wild - Walking/Grass,Safari Zone West,Lv 26
DODUO,Wild - Walking/Grass,Route16,Lv 18
DODUO,Wild - Walking/Grass,Route16,Lv 20
DODUO,Wild - Walking/Grass,Route16,Lv 22
DODUO,Wild - Walking/Grass,Route17,Lv 24
DODUO,Wild - Walking/Grass,Route17,Lv 26
DODUO,Wild - Walking/Grass,Route17,Lv 28
DODUO,Wild - Walking/Grass,Route18,Lv 24
DODUO,Wild - Walking/Grass,Route18,Lv 26
DODUO,Wild - Walking/Grass,Route18,Lv 28
DODUO,Wild - Walking/Grass,Safari Zone East,Lv 26
DODUO,Wild - Walking/Grass,Safari Zone West,Lv 26
DODUO,Wild - Walking/Grass,Route16,Lv 18
DODUO,Wild - Walking/Grass,Route16,Lv 20
DODUO,Wild - Walking/Grass,Route16,Lv 22
DODUO,Wild - Walking/Grass,Route17,Lv 24
DODUO,Wild - Walking/Grass,Route17,Lv 26
DODUO,Wild - Walking/Grass,Route17,Lv 28
DODUO,Wild - Walking/Grass,Route18,Lv 24
DODUO,Wild - Walking/Grass,Route18,Lv 26
DODUO,Wild - Walking/Grass,Route18,Lv 28
DONPHAN,Evolution,From Phanpy,Level 25
DRAGONAIR,Wild - Fishing,Safari Zone Center,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone East,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone North,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone West,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone Center,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone East,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone North,Lv 25-35
DRAGONAIR,Wild - Fishing,Safari Zone West,Lv 25-35
DRAGONAIR,Evolution,From Dratini,Level 30
DRAGONITE,Evolution,From Dragonair,Level 55
DRATINI,Wild - Fishing,Safari Zone Center,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone East,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone North,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone West,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone Center,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone East,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone North,Lv 15-25
DRATINI,Wild - Fishing,Safari Zone West,Lv 15-25
DRATINI,Game Corner Prize,Celadon City Game Corner,2100 Coins (FireRed) or 4600 Coins (LeafGreen)
DROWZEE,Wild - Walking/Grass,Three Island Berry Forest,Lv 34
DROWZEE,Wild - Walking/Grass,Route11,Lv 11
DROWZEE,Wild - Walking/Grass,Route11,Lv 13
DROWZEE,Wild - Walking/Grass,Route11,Lv 15
DROWZEE,Wild - Walking/Grass,Route11,Lv 15
DROWZEE,Wild - Walking/Grass,Three Island Berry Forest,Lv 34
DROWZEE,Wild - Walking/Grass,Route11,Lv 11
DROWZEE,Wild - Walking/Grass,Route11,Lv 13
DROWZEE,Wild - Walking/Grass,Route11,Lv 15
DROWZEE,Wild - Walking/Grass,Route11,Lv 15
DUGTRIO,Wild - Walking/Grass,Digletts Cave B1F,Lv 29
DUGTRIO,Wild - Walking/Grass,Digletts Cave B1F,Lv 31
DUGTRIO,Wild - Walking/Grass,Digletts Cave B1F,Lv 29
DUGTRIO,Wild - Walking/Grass,Digletts Cave B1F,Lv 31
DUGTRIO,Evolution,From Diglett,Level 26
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 15
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 15
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 10
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 10
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 20
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 20
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 25
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 30
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 25
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 30
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 5
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 35
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 15
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 15
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 10
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 10
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 20
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 20
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 25
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 30
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 25
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 30
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 5
DUNSPARCE,Wild - Walking/Grass,Three Island Port,Lv 35
DUSCLOPS,Evolution,From Duskull,Level 37
DUSTOX,Evolution,From Cascoon,Level 10
EEVEE,Wild - Walking/Grass,Celadon City,Lv 25
EEVEE,Gift,Celadon City (Mansion),Receive from man on top floor
EKANS,Wild - Walking/Grass,Route4,Lv 6
EKANS,Wild - Walking/Grass,Route4,Lv 10
EKANS,Wild - Walking/Grass,Route8,Lv 17
EKANS,Wild - Walking/Grass,Route8,Lv 19
EKANS,Wild - Walking/Grass,Route8,Lv 17
EKANS,Wild - Walking/Grass,Route8,Lv 17
EKANS,Wild - Walking/Grass,Route9,Lv 11
EKANS,Wild - Walking/Grass,Route9,Lv 15
EKANS,Wild - Walking/Grass,Route9,Lv 13
EKANS,Wild - Walking/Grass,Route9,Lv 17
EKANS,Wild - Walking/Grass,Route10,Lv 11
EKANS,Wild - Walking/Grass,Route10,Lv 15
EKANS,Wild - Walking/Grass,Route11,Lv 14
EKANS,Wild - Walking/Grass,Route11,Lv 12
EKANS,Wild - Walking/Grass,Route11,Lv 15
EKANS,Wild - Walking/Grass,Route11,Lv 12
EKANS,Wild - Walking/Grass,Route11,Lv 12
EKANS,Wild - Walking/Grass,Route23,Lv 32
EKANS,Wild - Walking/Grass,Route23,Lv 34
ELECTABUZZ,Wild - Walking/Grass,Power Plant,Lv 32
ELECTABUZZ,Wild - Walking/Grass,Power Plant,Lv 35
ELECTABUZZ,Wild - Walking/Grass,Route10,Lv 17
ELECTABUZZ,Evolution,From Elekid,Level 30
ELECTRODE,Wild - Walking/Grass,Cerulean Cave 1F,Lv 58
ELECTRODE,Wild - Walking/Grass,Cerulean Cave 2F,Lv 61
ELECTRODE,Wild - Walking/Grass,Cerulean Cave B1F,Lv 64
ELECTRODE,Wild - Walking/Grass,Cerulean Cave 1F,Lv 58
ELECTRODE,Wild - Walking/Grass,Cerulean Cave 2F,Lv 61
ELECTRODE,Wild - Walking/Grass,Cerulean Cave B1F,Lv 64
ELECTRODE,Evolution,From Voltorb,Level 30
ELECTRODE,In-Game Trade,Cinnabar Island,Trade Raichu for Electrode (nicknamed DORIS)
ENTEI,Legendary Roaming,Kanto (Roaming),Lv. 50; roams after choosing Bulbasaur; use Repels + Route encounter
ESPEON,Evolution,From Eevee,Friendship (220+) during Day
EXEGGCUTE,Wild - Walking/Grass,Safari Zone Center,Lv 24
EXEGGCUTE,Wild - Walking/Grass,Safari Zone Center,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone East,Lv 23
EXEGGCUTE,Wild - Walking/Grass,Safari Zone East,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone North,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone North,Lv 27
EXEGGCUTE,Wild - Walking/Grass,Safari Zone West,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone West,Lv 27
EXEGGCUTE,Wild - Walking/Grass,Three Island Berry Forest,Lv 35
EXEGGCUTE,Wild - Walking/Grass,Safari Zone Center,Lv 24
EXEGGCUTE,Wild - Walking/Grass,Safari Zone Center,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone East,Lv 23
EXEGGCUTE,Wild - Walking/Grass,Safari Zone East,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone North,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone North,Lv 27
EXEGGCUTE,Wild - Walking/Grass,Safari Zone West,Lv 25
EXEGGCUTE,Wild - Walking/Grass,Safari Zone West,Lv 27
EXEGGCUTE,Wild - Walking/Grass,Three Island Berry Forest,Lv 35
EXEGGUTOR,Evolution,From Exeggcute + Leaf Stone,Use Stone
EXPLOUD,Evolution,From Loudred,Level 40
FARFETCHD,Wild - Walking/Grass,Route12,Lv 25
FARFETCHD,In-Game Trade,Vermilion City,Trade Spearow for Farfetch'd (nicknamed DUX)
FEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 38
FEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 40
FEAROW,Wild - Walking/Grass,One Island Kindle Road,Lv 36
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 36
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 38
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 40
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 40
FEAROW,Wild - Walking/Grass,Two Island Cape Brink,Lv 36
FEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 48
FEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 50
FEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 50
FEAROW,Wild - Walking/Grass,Six Island Ruin Valley,Lv 49
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 48
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 50
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 50
FEAROW,Wild - Walking/Grass,Route17,Lv 25
FEAROW,Wild - Walking/Grass,Route17,Lv 27
FEAROW,Wild - Walking/Grass,Route18,Lv 25
FEAROW,Wild - Walking/Grass,Route18,Lv 27
FEAROW,Wild - Walking/Grass,Route18,Lv 29
FEAROW,Wild - Walking/Grass,Route23,Lv 40
FEAROW,Wild - Walking/Grass,Route23,Lv 42
FEAROW,Wild - Walking/Grass,Route23,Lv 44
FEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 38
FEAROW,Wild - Walking/Grass,Mt Ember Exterior,Lv 40
FEAROW,Wild - Walking/Grass,One Island Kindle Road,Lv 36
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 36
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 38
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 40
FEAROW,Wild - Walking/Grass,One Island Treasure Beach,Lv 40
FEAROW,Wild - Walking/Grass,Two Island Cape Brink,Lv 36
FEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 48
FEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 50
FEAROW,Wild - Walking/Grass,Six Island Water Path,Lv 50
FEAROW,Wild - Walking/Grass,Six Island Ruin Valley,Lv 49
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 48
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 50
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 50
FEAROW,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 50
FEAROW,Wild - Walking/Grass,Route17,Lv 25
FEAROW,Wild - Walking/Grass,Route17,Lv 27
FEAROW,Wild - Walking/Grass,Route18,Lv 25
FEAROW,Wild - Walking/Grass,Route18,Lv 27
FEAROW,Wild - Walking/Grass,Route18,Lv 29
